1	゗
CA/ro/li/n@s	㈧㈨㈩㑔
CYs	㑠
ChIC	㙅
Chim/ze	䔩㉐
E	ㄵ
E/PL	ㄵ㘖
E/gyp/tR	ㄵ䉸ㄑ
E/k@	ㄵぷ
E/kIc	ㄵ㦑
E/klI/g@s	ㄵ䕇䅔
E/lE/fAn/tN	ㄵㅈ㉹㈷
E/lE/fAnt	ㄵㅈㅉ
E/r1g/nIs	ㄵ㕑㕒
E/rI/kA	ㄵ㜢㌱
Eks/trA	䌴䌵
En/TYn/d@t	㊖䔑㒆
En/d@	㊖ㅡ
En/gLn	㊖㝥
En/t@	㊖ㄳ
En/tN	㊖㈷
Enc	㠖
Ent/SprE/cNt	㈉㜹㝀
Ent/cN	㈉぀
Ent/lIc	㈉㔁
Ent/ve/dR	㈉ら〔
Er/d@	㌇ㅡ
Er/folc	㌇㌈
Erd/be/r@	㜸㕩㈆
Erd/be/rN	㜸㕩㐐
Es	ㄧ
Es/N	ㄧじ
Et/vAs	㍤ゐ
I/mI/tirt	ㅣ㉦㕤
I/mR	ㅣㅐ
I/mR/Tu	ㅣㅐㄸ
I/n1/nAn/dR	ㅣ㑹㉡〔
I/nN	ㅣㆃ
I/nR	ㅣㄡ
I/r@	ㅣ㈆
I/r@s	ㅣ㦖
Ic	〥
Im	㊁
In	㄃
In/TvI/SN	㄃㄄ㄅ
In/tE/rEs/An/t@s	㄃㤸䉀〄䈡
In/tE/rEs/Ant	㄃㤸䉀㑅
Ins	㐓
Ir/gEn/tEt/vAs	㐇㐵㐶ゐ
Ir/gEnd/vAs	㐇㔣ゐ
Ir/gEnt	㐇㐈
Ir/gEnt/vEl/c@	㐇㐈㒇㊙
Ir/gEnt/vEl/cN	㐇㐈㒇぀
Ir/gEnt/vi	㐇㐈〓
Ir/gEnt/vo	㐇㐈㈰
Ir/zI/nI/gR	㐇㑄㜖㈙
Ir/zI/nIc	㐇㑄㜓
Is	䉩
Is/@s	䉩㕐
Ist	べ
JEnt	䀵
JI/JI	㜄㜄
JI/ra/f@	㜄䀰ㅴ
Ju/ri	㑐㍣
N	じ
O/fN	㌦ㆁ
O/lym/pi/a/myn/T@	㌦䅸㠥ㅵ䅹㌲
O/rN	㌦㐐
O/to	㌦㈹
Oft	㖇
Ok/to/bR	㈸㈹ㅶ
Op	㒓
Op/jEk/t@	㒓㔧ㄳ
Op/jEk/tN	㒓㔧㈷
Op/jEkt	㒓㒔
Op/jekt/na/mN	㒓㖖ㅥㅦ
Op/vol	㒓䄔
Opst	䁒
Or	䀴
Ord/nUnc	䊆㖂
Ox	䒘
P1/f@	㝐ㅴ
P1ft	䑡
P3	䙰
Per/d@	㌹ㅡ
Per/dN	㌹㍓
Pert	㊈
Pert/cN	㊈぀
Pl3/m@	䍢ㆅ
Pl3/mN	䍢ㅦ
Pl3/mN/St1n	䍢ㅦ䍠
Pl3/mN/st1n	䍢ㅦ䍰
PlA/stR	䕧㑲
PlY/kN	䙤ㅀ
S1nt	䈆
S2/nN/tor	䔀ㆃ䔁
S2s/lIc	䌲㔁
S3	ど
S3/N	どじ
S3/fL	ど㎆
S3/fLn	ど㝇
S3/kL	どㄥ
S3/kL/Pert	どㄥ㊈
S3/kLt	ど㘤
S3t	㊗
SAT	㈥
SAr/lO/t@	㘦㐨ㄳ
SArf	䖅
SAx/tL	ㄓㄔ
SET/cN	䔸぀
SEn/kN	㝕ㅀ
SEnk	㑖
SEnkst	䐘
SI/f@	䄒ㅴ
SI/kN	䄒ㅀ
SIf	㤤
SIf/cN	㤤぀
SIk	䈦
SIkt	䀀
SIlt/krq/t@	㢘㢙ㄳ
SIlt/krq/tN	㢘㢙㈷
SImPst	ㅨ
SIr/m@	䙁ㆅ
SO/li	䊖㈩
SOs	䍘
SU/bRn	㉩䑒
SU/pla/d@	㉩㉰ㅡ
SUp	㔹
SUp/zN	㔹㄂
SUpst	䁴
SY/tLst	㎖㑗
SY/tLt	㎖㎗
SYr/T@	㡠㌲
Sa/d@	㜤ㅡ
Sa/f@	㜤ㅴ
Sa/fN	㜤ㆁ
Saf	㖕
Sar/li	䎙㈩
Sar/li/e	䎙㈩㒒
Sar/lis	䎙䐓
Se/r@	䍧㈆
Sef/cN	䘦぀
Si/bN	㢐㊀
Sif	㕡
Sipt	ㆆ
Sir	㙇
Sit	㜣
Sit/cN	㜣぀
Sl1/f@	䕹ㅴ
Sl1/fN	䕹ㆁ
SlAn/g@	䁂〩
SlEc/t@	䍡ㄳ
SlEct	䀉
SlI/m@s	䅩㡸
SlIm	䔈
SlUs	䀘
SlYs/L	䄆䀨
Sla/fAn/Tuc	ㆀ㉹㉘
Sla/fN	ㆀㆁ
Slaf	㐲
Slaf/TI/mR	㐲㐳ㅐ
Slef/cN	㘕぀
Slefst	㥂
Sleft	㌢
Sm1s	㈡
Sm1s/N	㈡じ
Sm1st	䍙
SmA/rN	㢀㐐
SmE/tR/lin/g@	㝈ㄑ㝉〩
SmE/tR/linc	㝈ㄑ䖈
SmEkt	䉡
SmU/TvE/S@	䄩䄰゙
SmUk	䄂
SmUk/stYk	䄂䅡
Smi/rR/1	䌀㍒゗
Smir	䉆
Smirn	䒗
Smirs	䎇
Smirst	䈹
Smirt	㡧
Smu/z@/m3s	㉨ださ
Sn1/dN	䎃㍓
Sn1t	䈵
SnA/pN	䄘㔸
SnA/tR/li/z@	䄘ㄑ㈩だ
SnA/tRn	䄘㚈
SnAps/i/de/N	䁧㈅㘁じ
SnE/k@	㡆ぷ
SnE/kN	㡆ㅀ
SnE/kN/pOst	㡆ㅀ㉒
SnEl	㝵
SnI/bL	䀢〹
SnI/bL/cN	䀢〹぀
SnQ/bL	〸〹
SnQ/bL/bra/tN	〸〹㡘㈷
SnQ/bL/cN	〸〹぀
SnQ/bL/ha/z@	〸〹すだ
SnQ/bL/m3s	〸〹さ
SnU/PN	㈇㠃
SnU/lR	㈇㈈
SnU/pN	㈇㔸
Sna/bL	䁁〹
Sne	䅘
So/ko/lA/d@	䌠㌷㝠ㅡ
So/ko/lA/dN/jo/gurt	䌠㌷㝠㍓㝂䁑
Son	〒
SpA/Ti/rN	䐈㈀㐐
SpA/Tir/gAnc	䐈䐉䐐
SpI/T@	䄄㌲
SpI/n@	䄄ご
SpIT	㍱
SpU/k@	䘃ぷ
Spe/tR	䄲ㄑ
Spi/gL	㤰㍄
Spi/l@	㤰ば
Spi/lN	㤰び
Spil	つ
Spil/plAT	つ㚐
Spil/zAx/N	つ㔨じ
Spilt	ち
SprE/cN	㜹぀
SprIT	䒄
SprIn/gN	䂔㌤
SprIngt	䁢
Spu/lN	㈲び
Sq/n@	㦐ご
Sq/n@s	㦐㑔
Sq/nN	㦐ㆃ
Sqn	㈦
Sr1/N	㘃じ
Sr1/tN	㘃㈷
Sr1b/tIS	㡓㡔
SrAnk	㐘
SrEk	䌨
SrI/t@	䐣ㄳ
SrIf/T1/cN	䐄㕖぀
St1/gN	㔄㌤
St1/n@	㔄ご
St1c	䂈
St1gt	䂉
St1n	䍠
St3p	㥹
St@	䅥
StAnt	䍴
StArk	㒉
StAt	䔣
StE/cN	㘓぀
StE/kN	㘓ㅀ
StE/l@	㘓ば
StE/lN	㘓び
StEk	っ
StEk/Spil	っつ
StEk/do/zN	っ㥒㄂
StEkt	㡡
StEl	㠒
StElst	䕂
StElt	〰
StIct	䕴
StIf/t@	㢃ㄳ
StIft	㊉
StImt	㌴
StInk/ho/z@	䄐㉲だ
StInk/myl	䄐䙗
StInkt	㡇
StN	䔄
StOf/ha/zN	㕓す㄂
StOr/cN/El/tRn/par	䘶぀㜁㚈㥕
StOrc	䁃
StUs	䐩
StYk	䈸
StYk/cN	䈸぀
Ste/N	㎑じ
Ster/kR	㐤㐥
Ster/n@	㐤ご
Stest	、
Stet	ぅ
Sti/fLn	㔓㝇
Stqr/c@	䘰㊙
Stqst	䍷
Str1/cLn	㝦㝧
Str1/cLt	㝦䑥
Str1/cN	㝦぀
Str1/tN	㝦㈷
StrAs/@	䅠ㅧ
StrAs/N/b3	䅠じ㜰
StrI/kna/dL	㍲㍳㄁
StrIk/T2c	㍨㍩
StrUmP	㠇
StrUmP/ho/z@	㠇㉲だ
StrUmP/ho/zN	㠇㉲㄂
StrYm/P@	㠧㠨
Stul	㎂
Sty/l@	㚉ば
Styl/cN	㚇぀
Su	㌡
Su/@	㌡ㅧ
Sv1/gN	䈅㌤
Sv1/n@	䈅ご
Sv1/nN	䈅ㆃ
Sv1/nR/1	䈅ㄡ゗
Sv1n	㖒
SvA/kL/SvAnT	䘲ㄥ䐤
SvAnT	䐤
SvApt	䒈
SvAr/T@	㢁㌲
SvAr/T@s	㢁㢂
SvAr/TN	㢁〗
SvArT	䀓
SvI/mN	㤇ㅦ
SvIm	䄥
SvIm/bAt	䄥䄸
SvIm/bAt/bIlt	䄥䄸㑕
SvIm/bAt/bux	䄥䄸ㅆ
SvImt	㝴
SvR	㍢
Svan	䄣
Svapt	䑀
T1/gN	㕖㌤
T1/tUnc	㕖䆐
T1c	㉧
T1c/n@t	㉧䎔
T1g/t@	䁓ㄳ
T1gt	㕕
T1t	㑩
T1t/lI/c@	㑩㞓㊙
T2c	㍩
TAk	㑓
TE/tL	䅃ㄔ
TElt	㥃
TI/mR	㐳ㅐ
TIr/kus	䆓ぃ
TO/ra	㌀䀰
TO/tL/dIn/gR	㌀ㄔ㌁㈙
TU/PN	䘴㠃
TUn/g@	㒀〩
Takt	㍵
Tan	㤨
Te	ぐ
Te/brA	ぐ䘔
Te/brAs	ぐ䄕
Te/lN	ぐび
Te/n@	ぐご
Te/nN	ぐㆃ
Te/rIs/N	ぐ㎉じ
Tel	㢖
Ten/mArk/stYk	㈶䅳䅡
Ter/PlYkt	ㄖㄗ
Ter/knI/kLt	ㄖ㘣㘤
Ti	㈀
Ti/N	㈀じ
Ti/g@	㈀〩
Ti/gN	㈀㌤
Ti/gN/bqk/cN	㈀㌤䙨぀
Tilt	㑇
Tim/lI/c@	䁦㞓㊙
Tim/lIc	䁦㔁
Tist	䘠
Tit	䄀
To	㊂
Tq/gRn	㦃㦄
Tu	ㄸ
Tu/SnA/pN	ㄸ䄘㔸
Tu/erst	ㄸ㔔
Tu/fil	ㄸ㎐
Tu/g@/S3t	ㄸ〩㊗
Tu/g@/l1mt	ㄸ〩㉣
Tu/g@/mAxt	ㄸ〩ㅖ
Tu/gU/kN	ㄸ㊓ㅀ
Tu/mAx/N	ㄸゕじ
Tu/mIn/d@st	ㄸ㒘㒙
Tu/rYk	ㄸ䍥
Tu/zA/mN	ㄸ㕂ㅦ
Tu/zA/mN/mAx/N	ㄸ㕂ㅦゕじ
Tu/zAm/g@/kraxt	ㄸ䊁〩䔶
Tuc	㉘
Tum	ㅄ
Tur	㍘
Tv1	㌑
Tv1/N	㌑じ
Tv1/t@	㌑ㄳ
Tv1/tN	㌑㈷
TvAk	䕐
TvAn/TIg/stR	䈢䀥㑲
TvAr	㡁
TvI/SN/durc	㄄ㄅ䕀
TvIk	䕉
Tverc	䖔
Tvi/bAk	〘〙
Tvi/bLn	〘䑈
U/ni	䚁㝒
Um	㐙
Un/fAl	㍈㤱
Un/tN	㍈㈷
Un/tR	㍈ㄑ
Un/tR/M	㍈ㄑ㦂
Un/tR/Sit	㍈ㄑ㜣
Un/tR/g@/t3xt	㍈ㄑ〩䅆
Un/tR/ne/mUn/gN	㍈ㄑㆄ䊙㌤
Un/tR/vecs	㍈ㄑ䕙
Un/zR	㍈㍉
Un/zR/@	㍈㍉ㅧ
Un/zR/M	㍈㍉㦂
Uns	㍕
Uns/R/@	㍕とㅧ
Unt	う
a	ㅵ
a/bNt	ㅵ䖓
a/bR	ㅵㅶ
a/de/bar	ㅵ㘁㚁
a/m1/z@	ㅵこだ
a/m1/zN	ㅵこ㄂
a/nUnc	ㅵ㖂
an/dr@	〷䉇
an/dre/A	〷㡑〦
b1	㌅
b1/Spil	㌅つ
b1/d@	㌅ㅡ
b1/dN	㌅㍓
b1/n@	㌅ご
b1/nN	㌅ㆃ
b1/na	㌅ㅥ
b1m	㈳
b1n	䁘
b1s	㍗
b1s/N	㍗じ
b1st	䄠
b2/m@	㢄ㆅ
b2/mN	㢄ㅦ
b2/rIn	㢄䘣
b2/t@	㢄ㄳ
b2/tL	㢄ㄔ
b3	㜰
b3/@	㜰ㅧ
b3/N	㜰じ
b3/klq/T@	㜰㝗㌲
b3/klq/TRn	㜰㝗㝘
b3/rN/h2s/R	㜰㐐㞈と
b3/rN/h3s	㜰㐐㡈
b3/stE/l@	㜰䑸ば
b3m	㎀
b3mt	䅧
b3r	㘨
b3r/nhof	㘨㘩
b3t	䊗
b3x	㘳
b3x/ve	㘳ら
b@/SE/tI/gN	㑰㑷㑸㌤
b@/Smirt	㑰㡧
b@/Sr1/bEnt	㑰㘃㘄
b@/To/gN	㑰㊂㌤
b@/fr1/@	㑰㥵ㅧ
b@/g1/stR/Unc	㑰㑱㑲㑳
b@/gInt	㑰㚅
b@/gl1/tEt	㑰㕱㐶
b@/kO/mN	㑰㐖ㅦ
b@/nE/nUn/gN	㑰㑦㒃㌤
b@/zOn/dR/@s	㑰㕉〔㕐
b@/zOn/dRs	㑰㕉䅓
b@/zux	㑰㡢
b@r/g@	䙕〩
b@rc	㙀
bA/na/n@	㊘ㅥご
bA/na/nN	㊘ㅥㆃ
bAl	㖓
bAl/kon	㖓䊐
bAlt	䀗
bAm	㥰
bAnk	䒆
bAnt	㔇
bAst/jN	䌷䌸
bE/ChR	㊕㊒
bE/Stest	㊕、
bE/T2c	㊕㍩
bE/kN	㊕ㅀ
bE/kR	㊕㐥
bE/l@	㊕ば
bE/stIm/t@	㊕㔦ㄳ
bE/stImt	㊕㘧
bE/stN	㊕㑵
bE/stens	㊕㜂
bElt	㥣
bEs/R	㈃と
bEs/rR	㈃㍒
bEt	㐔
bEt/cN	㐔぀
bEt/vE/S@	㐔䈕゙
bI/bA	㉇㊘
bI/mElt	㉇䙢
bI/mL/ban	㉇㉈㉉
bI/mL/ben/cN	㉇㉈䙣぀
bI/t@	㉇ㄳ
bI/t@/Sqn	㉇ㄳ㈦
bIl/dEt	㈱㙂
bIl/dR	㈱〔
bIl/dR/bux	㈱〔ㅆ
bIl/dR/by/ChR	㈱〔㊑㊒
bIl/dRn	㈱㔥
bIlt	㑕
bIn	㍥
bIn/dEt	㍥㙂
bIs	㌃
bIs/L	㌃䀨
bIs/SN	㌃ㄅ
bIs/cN	㌃぀
bIst	ㅙ
bOrt	㔒
bU/mLt	䈩䙠
bU/tR	䈩ㄑ
bUm	䆇
bUn/t@	㎃ㄳ
bUs	䆘
bYr/st@	䍩㞃
ba	㙸
ba/d@/TI/mR	㙸ㅡ㐳ㅐ
ba/d@/fEst	㙸ㅡ㍐
ba/d@/ho/z@	㙸ㅡ㉲だ
ba/d@/ho/zN	㙸ㅡ㉲㄂
ba/d@/va/n@	㙸ㅡ㙠ご
ba/nhof	㙸㘩
bat/bux	䘹ㅆ
bax	㝖
be/R	㕩と
be/bi	㕩㉕
be/bi/A/fN	㕩㉕〦ㆁ
be/bi/bux	㕩㉕ㅆ
be/bi/nIl/Pert	㕩㉕䀩㊈
be/bi/po/ni	㕩㉕㈑㝒
be/bis	㕩㞂
be/rN	㕩㐐
ber/cN	㙙぀
bi/n@	㉕ご
bi/nN	㉕ㆃ
bin/cN	䖒぀
bl1/bN	㠸㊀
bl1p	㤒
bl3	㝑
bl3/@	㝑ㅧ
bl3/N	㝑じ
blAt	䀇
blE/tR	㎄ㄑ
blE/tRn	㎄㚈
blEt/cN	䘳぀
blOs	㔆
bles/cN	䎒぀
blq/dR	䙧〔
blqt	䐳
